Transfer,Community,Count,TotalCount,Frequency
T2,G08,0,,0
T2,H08,0,,0
T2,A09,4,92,0.0434782608695652
T2,B09,0,,0
T2,C09,0,,0
T2,D09,0,,0
T2,E09,0,,0
T2,F09,0,,0
T2,G09,4,92,0.0434782608695652
T2,A10,0,,0
T2,B10,0,,0
T2,C10,0,,0
T2,D10,0,,0
T2,E10,4,92,0.0434782608695652
T2,F10,4,92,0.0434782608695652
T2,G10,4,92,0.0434782608695652
T2,A11,4,92,0.0434782608695652
T2,B11,0,,0
T2,C11,0,,0
T2,D11,0,,0
T2,E11,4,92,0.0434782608695652
T2,F11,0,,0
T2,G11,0,,0
T2,A12,0,,0
T2,B12,0,,0
T2,C12,0,,0
T2,D12,4,92,0.0434782608695652
T2,E12,4,92,0.0434782608695652
T2,F12,4,92,0.0434782608695652
T2,G12,4,92,0.0434782608695652
T3,A01,0,,0
T3,B01,16,88,0.181818181818182
T3,C01,0,,0
T3,D01,16,88,0.181818181818182
T3,E01,0,,0
T3,F01,0,,0
T3,G01,0,,0
T3,H01,16,88,0.181818181818182
T3,A02,0,,0
T3,B02,0,,0
T3,C02,0,,0
T3,D02,0,,0
T3,E02,0,,0
T3,F02,0,,0
T3,G02,0,,0
T3,H02,0,,0
T3,A03,0,,0
T3,B03,0,,0
T3,C03,0,,0
T3,D03,0,,0
T3,E03,0,,0
T3,F03,0,,0
T3,G03,0,,0
T3,H03,0,,0
T3,A04,0,,0
T3,B04,0,,0
T3,C04,0,,0
T3,D04,0,,0
T3,E04,0,,0
T3,F04,0,,0
T3,G04,0,,0
T3,H04,0,,0
T3,A05,0,,0
T3,B05,0,,0
T3,C05,0,,0
T3,D05,0,,0
T3,E05,0,,0
T3,F05,0,,0
T3,G05,0,,0
T3,H05,0,,0
T3,A06,0,,0
T3,B06,0,,0
T3,C06,0,,0
T3,D06,0,,0
T3,E06,0,,0
T3,F06,0,,0
T3,G06,0,,0
T3,H06,0,,0
T3,A07,0,,0
T3,B07,0,,0
T3,C07,0,,0
T3,D07,0,,0
T3,E07,0,,0
T3,F07,0,,0
T3,G07,0,,0
T3,H07,4,88,0.0454545454545455
T3,A08,0,,0
T3,B08,0,,0
T3,C08,16,88,0.181818181818182
T3,D08,0,,0
T3,E08,0,,0
T3,F08,0,,0
T3,G08,0,,0
T3,H08,0,,0
T3,A09,0,,0
T3,B09,0,,0
T3,C09,0,,0
T3,D09,0,,0
T3,E09,0,,0
T3,F09,0,,0
T3,G09,0,,0
T3,A10,0,,0
T3,B10,0,,0
T3,C10,0,,0
T3,D10,0,,0
T3,E10,0,,0
T3,F10,4,88,0.0454545454545455
T3,G10,0,,0
T3,A11,4,88,0.0454545454545455
T3,B11,0,,0
T3,C11,0,,0
T3,D11,0,,0
T3,E11,4,88,0.0454545454545455
T3,F11,0,,0
T3,G11,0,,0
T3,A12,0,,0
T3,B12,0,,0
T3,C12,0,,0
T3,D12,0,,0
T3,E12,4,88,0.0454545454545455
T3,F12,4,88,0.0454545454545455
T3,G12,0,,0
T4,A01,0,,0
T4,B01,56,92,0.608695652173913
T4,C01,0,,0
T4,D01,36,92,0.391304347826087
T4,E01,0,,0
T4,F01,0,,0
T4,G01,0,,0
T4,H01,0,,0
T4,A02,0,,0
T4,B02,0,,0
T4,C02,0,,0
T4,D02,0,,0
T4,E02,0,,0
T4,F02,0,,0
T4,G02,0,,0
T4,H02,0,,0
T4,A03,0,,0
T4,B03,0,,0
T4,C03,0,,0
T4,D03,0,,0
T4,E03,0,,0
T4,F03,0,,0
T4,G03,0,,0
T4,H03,0,,0
T4,A04,0,,0
T4,B04,0,,0
T4,C04,0,,0
T4,D04,0,,0
T4,E04,0,,0
T4,F04,0,,0
T4,G04,0,,0
T4,H04,0,,0
T4,A05,0,,0
T4,B05,0,,0
T4,C05,0,,0
T4,D05,0,,0
T4,E05,0,,0
T4,F05,0,,0
T4,G05,0,,0
T4,H05,0,,0
T4,A06,0,,0
T4,B06,0,,0
T4,C06,0,,0
T4,D06,0,,0
T4,E06,0,,0
T4,F06,0,,0
T4,G06,0,,0
T4,H06,0,,0
T4,A07,0,,0
T4,B07,0,,0
T4,C07,0,,0
T4,D07,0,,0
T4,E07,0,,0
T4,F07,0,,0
T4,G07,0,,0
T4,H07,0,,0
T4,A08,0,,0
T4,B08,0,,0
T4,C08,0,,0
T4,D08,0,,0
T4,E08,0,,0
T4,F08,0,,0
T4,G08,0,,0
T4,H08,0,,0
T4,A09,0,,0
T4,B09,0,,0
T4,C09,0,,0
T4,D09,0,,0
T4,E09,0,,0
T4,F09,0,,0
T4,G09,0,,0
T4,A10,0,,0
T4,B10,0,,0
T4,C10,0,,0
T4,D10,0,,0
T4,E10,0,,0
T4,F10,0,,0
T4,G10,0,,0
T4,A11,0,,0
T4,B11,0,,0
T4,C11,0,,0
T4,D11,0,,0
T4,E11,0,,0
T4,F11,0,,0
T4,G11,0,,0
T4,A12,0,,0
T4,B12,0,,0
T4,C12,0,,0
T4,D12,0,,0
T4,E12,0,,0
T4,F12,0,,0
T4,G12,0,,0
T5,A01,0,,0
T5,B01,80,88,0.909090909090909
T5,C01,0,,0
T5,D01,8,88,0.0909090909090909
T5,E01,0,,0
T5,F01,0,,0
T5,G01,0,,0
T5,H01,0,,0
T5,A02,0,,0
T5,B02,0,,0
T5,C02,0,,0
T5,D02,0,,0
T5,E02,0,,0
T5,F02,0,,0
T5,G02,0,,0
T5,H02,0,,0
T5,A03,0,,0
T5,B03,0,,0
T5,C03,0,,0
T5,D03,0,,0
T5,E03,0,,0
T5,F03,0,,0
T5,G03,0,,0
T5,H03,0,,0
T5,A04,0,,0
T5,B04,0,,0
T5,C04,0,,0
T5,D04,0,,0
T5,E04,0,,0
T5,F04,0,,0
T5,G04,0,,0
T5,H04,0,,0
T5,A05,0,,0
T5,B05,0,,0
T5,C05,0,,0
T5,D05,0,,0
T5,E05,0,,0
T5,F05,0,,0
T5,G05,0,,0
T5,H05,0,,0
T5,A06,0,,0
T5,B06,0,,0
T5,C06,0,,0
T5,D06,0,,0
T5,E06,0,,0
T5,F06,0,,0
T5,G06,0,,0
T5,H06,0,,0
T5,A07,0,,0
T5,B07,0,,0
T5,C07,0,,0
T5,D07,0,,0
T5,E07,0,,0
T5,F07,0,,0
T5,G07,0,,0
T5,H07,0,,0
T5,A08,0,,0
T5,B08,0,,0
T5,C08,0,,0
T5,D08,0,,0
T5,E08,0,,0
T5,F08,0,,0
T5,G08,0,,0
T5,H08,0,,0
T5,A09,0,,0
T5,B09,0,,0
T5,C09,0,,0
T5,D09,0,,0
T5,E09,0,,0
T5,F09,0,,0
T5,G09,0,,0
T5,A10,0,,0
T5,B10,0,,0
T5,C10,0,,0
T5,D10,0,,0
T5,E10,0,,0
T5,F10,0,,0
T5,G10,0,,0
T5,A11,0,,0
T5,B11,0,,0
T5,C11,0,,0
T5,D11,0,,0
T5,E11,0,,0
T5,F11,0,,0
T5,G11,0,,0
T5,A12,0,,0
T5,B12,0,,0
T5,C12,0,,0
T5,D12,0,,0
T5,E12,0,,0
T5,F12,0,,0
T5,G12,0,,0
T6,A01,0,,0
T6,B01,84,84,1
T6,C01,0,,0
T6,D01,0,,0
T6,E01,0,,0
T6,F01,0,,0
T6,G01,0,,0
T6,H01,0,,0
T6,A02,0,,0
T6,B02,0,,0
T6,C02,0,,0
T6,D02,0,,0
T6,E02,0,,0
T6,F02,0,,0
T6,G02,0,,0
T6,H02,0,,0
T6,A03,0,,0
T6,B03,0,,0
T6,C03,0,,0
T6,D03,0,,0
T6,E03,0,,0
T6,F03,0,,0
T6,G03,0,,0
T6,H03,0,,0
T6,A04,0,,0
T6,B04,0,,0
T6,C04,0,,0
T6,D04,0,,0
T6,E04,0,,0
T6,F04,0,,0
T6,G04,0,,0
T6,H04,0,,0
T6,A05,0,,0
T6,B05,0,,0
T6,C05,0,,0
T6,D05,0,,0
T6,E05,0,,0
T6,F05,0,,0
T6,G05,0,,0
T6,H05,0,,0
T6,A06,0,,0
T6,B06,0,,0
T6,C06,0,,0
T6,D06,0,,0
T6,E06,0,,0
T6,F06,0,,0
T6,G06,0,,0
T6,H06,0,,0
T6,A07,0,,0
T6,B07,0,,0
T6,C07,0,,0
T6,D07,0,,0
T6,E07,0,,0
T6,F07,0,,0
T6,G07,0,,0
T6,H07,0,,0
T6,A08,0,,0
T6,B08,0,,0
T6,C08,0,,0
T6,D08,0,,0
T6,E08,0,,0
T6,F08,0,,0
T6,G08,0,,0
T6,H08,0,,0
T6,A09,0,,0
T6,B09,0,,0
T6,C09,0,,0
T6,D09,0,,0
T6,E09,0,,0
T6,F09,0,,0
T6,G09,0,,0
T6,A10,0,,0
T6,B10,0,,0
T6,C10,0,,0
T6,D10,0,,0
T6,E10,0,,0
T6,F10,0,,0
T6,G10,0,,0
T6,A11,0,,0
T6,B11,0,,0
T6,C11,0,,0
T6,D11,0,,0
T6,E11,0,,0
T6,F11,0,,0
T6,G11,0,,0
T6,A12,0,,0
T6,B12,0,,0
T6,C12,0,,0
T6,D12,0,,0
T6,E12,0,,0
T6,F12,0,,0
T6,G12,0,,0
T7,A01,0,,0
T7,B01,72,72,1
T7,C01,0,,0
T7,D01,0,,0
T7,E01,0,,0
T7,F01,0,,0
T7,G01,0,,0
T7,H01,0,,0
T7,A02,0,,0
T7,B02,0,,0
T7,C02,0,,0
T7,D02,0,,0
T7,E02,0,,0
T7,F02,0,,0
T7,G02,0,,0
T7,H02,0,,0
T7,A03,0,,0
T7,B03,0,,0
T7,C03,0,,0
T7,D03,0,,0
T7,E03,0,,0
T7,F03,0,,0
T7,G03,0,,0
T7,H03,0,,0
T7,A04,0,,0
T7,B04,0,,0
T7,C04,0,,0
T7,D04,0,,0
T7,E04,0,,0
T7,F04,0,,0
T7,G04,0,,0
T7,H04,0,,0
T7,A05,0,,0
T7,B05,0,,0
T7,C05,0,,0
T7,D05,0,,0
T7,E05,0,,0
T7,F05,0,,0
T7,G05,0,,0
T7,H05,0,,0
T7,A06,0,,0
T7,B06,0,,0
T7,C06,0,,0
T7,D06,0,,0
T7,E06,0,,0
T7,F06,0,,0
T7,G06,0,,0
T7,H06,0,,0
T7,A07,0,,0
T7,B07,0,,0
T7,C07,0,,0
T7,D07,0,,0
T7,E07,0,,0
T7,F07,0,,0
T7,G07,0,,0
T7,H07,0,,0
T7,A08,0,,0
T7,B08,0,,0
T7,C08,0,,0
T7,D08,0,,0
T7,E08,0,,0
T7,F08,0,,0
T7,G08,0,,0
T7,H08,0,,0
T7,A09,0,,0
T7,B09,0,,0
T7,C09,0,,0
T7,D09,0,,0
T7,E09,0,,0
T7,F09,0,,0
T7,G09,0,,0
T7,A10,0,,0
T7,B10,0,,0
T7,C10,0,,0
T7,D10,0,,0
T7,E10,0,,0
T7,F10,0,,0
T7,G10,0,,0
T7,A11,0,,0
T7,B11,0,,0
T7,C11,0,,0
T7,D11,0,,0
T7,E11,0,,0
T7,F11,0,,0
T7,G11,0,,0
T7,A12,0,,0
T7,B12,0,,0
T7,C12,0,,0
T7,D12,0,,0
T7,E12,0,,0
T7,F12,0,,0
T7,G12,0,,0
